Bank Name,Bank ID,Account Number,Entity ID,Entity Name
China Bank #2820,314693,81B86A280,800D8CCF0,Corporation #41344
France Bank #4585,311253,8187FEA80,800B505E0,Corporation #54497
China Bank #2242,39996,803961E00,800D03F60,Partnership #36904
National Bank of Newport,331440,81B075800,801567C10,Corporation #16224
UK Bank #33,135417,80CF87C80,801085E00,Partnership #72930
Savings Bank of Harrisburg,270107,81A2F8D80,80145CEC0,Partnership #17131
Crytpo Bank #22,170412,819F4D601,8015B10D0,Partnership #953
Brazil Bank #19,148894,811EACF00,801208FE0,Corporation #48389
Japan Bank #654,322173,808753E80,800E622A0,Corporation #42450
Italy Bank #1554,52130,81455D100,800C1C190,Sole Proprietorship #29256
Germany Bank #2937,317883,8103CDD80,800B5ACE0,Corporation #35364
Spain Bank #543,18586,8082C4D00,800ADE860,Sole Proprietorship #30209
First Bank of Huron,1277,8007A7E80,8010F29F0,Partnership #1245
Australia Bank #22,42646,810AB4B00,8011A97C0,Sole Proprietorship #70044
India Bank #19,123651,80ED98180,800F49110,Sole Proprietorship #43351
Italy Bank #55,225312,814001000,800BBDB50,Corporation #71730
Spain Bank #72,25634,8053A1100,8009FA300,Corporation #31245
Portugal Bank #42,24029,80A36EE80,800964DC0,Partnership #51172
National Bank of Albany,136360,818AA5400,8006DD1E0,Corporation #25871
Bank of Topeka,25259,80CA95580,8005F8A20,Corporation #16457
Plateau Bancorp,14133,80B8B9A80,80045B8C0,Sole Proprietorship #73196
National Bank of Dallas,6045,80D6BCE80,800356220,Corporation #60734
Savings Bank of Madison,11,800D80580,800074010,Partnership #70833
Mountain Bank,3708,8003F3E10,8013056C0,Sole Proprietorship #4857
Spain Bank #7438,330340,80B053210,8008A1280,Partnership #27459
Israel Bank #945,357932,8159B1610,801321B30,Corporation #54858
Japan Bank #300,315972,806692210,800E5B770,Partnership #39930
China Bank #1903,347839,8115F5F90,800DC4430,Partnership #39550
Crytpo Bank #21,169489,8198B0891,8001A7780,Sole Proprietorship #51014
Brazil Bank #28,248957,812EE3E90,801093480,Sole Proprietorship #48001
Mexico Bank #10,13,811380690,801272000,Sole Proprietorship #17596
Japan Bank #51,215557,8083D0290,8012B4120,Sole Proprietorship #8262
Japan Bank #39,29592,80401CC10,800E7D260,Sole Proprietorship #40347
France Bank #4019,366196,81B633A10,800C0E150,Corporation #37556
Spain Bank #2063,33898,812DA3510,80084B500,Partnership #27026
Germany Bank #1058,129044,8118C0A10,800B140C0,Sole Proprietorship #30554
France Bank #71,27436,80DD59610,800945720,Partnership #27870
Spain Bank #332,6829,806C55690,800B89600,Sole Proprietorship #28163
Spruce Credit Union,3559,81256F390,800DDAE70,Corporation #21011
National Bank of Chicago,22224,802336810,8014DA7D0,Sole Proprietorship #4845
Saudi Arabia Bank #9,63587,817543190,8013E25A0,Corporation #7607
Germany Bank #4294,273361,81B65E890,800CDA850,Corporation #50941
Flagstone Federal Bank,16263,80CD7C390,8003617E0,Partnership #50770
Oasis Credit Union,1291,801BA8590,8000B1AC0,Corporation #3925
First Bank of Danbury,31412,8016D5A20,801501990,Sole Proprietorship #4394
Savings Bank of Hartford,32050,805669920,8015193D0,Sole Proprietorship #7146
Willows Community Bank,22595,8086421A0,800E87800,Corporation #390
Crytpo Bank #16,270308,81A67F221,8001A7780,Sole Proprietorship #51014
India Bank #1209,340122,80E804D20,800FDACF0,Sole Proprietorship #43459
India Bank #38,319959,80908EBA0,800FB8F90,Corporation #43496
China Bank #22,9096,80351C420,800CDB830,Sole Proprietorship #37214
Netherlands Bank #365,24455,80E2FC3A0,8009476A0,Corporation #31236
Belgium Bank #1148,32957,803485EA0,800C1E790,Corporation #30200
First Bank of Los Angeles,138123,819CDC5A0,801304B00,Corporation #10756
Oasis Credit Union,1291,8179285A0,801537C30,Partnership #6024
First Bank of Fort Wayne,315443,80C6019A0,801405700,Corporation #443
Heath Trust Bank,214000,80559F820,801508110,Corporation #122
Crytpo Bank #16,270308,81A67F220,8014F7070,Corporation #1875
UK Bank #36,233601,80CA040A0,80107C280,Partnership #44398
China Bank #28,15168,80395A020,800D0E6C0,Sole Proprietorship #63499
Savings Bank of Laramie,19589,8163E42A0,80055E580,Corporation #23909
Baltech Cooperative Bank,18665,810C474A0,8005389C0,Partnership #18896
National Bank of Phoenix,9715,806AAF9A0,8003E7B00,Partnership #16090
Arbor Community Bank,21414,81599D320,800162DE0,Sole Proprietorship #22762
Savings Bank of Springfield,2860,800AD9620,8000F5A00,Partnership #55992
Netherlands Bank #2669,36856,81187FC30,800B4DCE0,Partnership #66081
Savings Bank of Miami,6809,8030D4CB0,80154AC70,Sole Proprietorship #17349
France Bank #7888,330117,816A4C2B0,800AEDE40,Corporation #67928
Crytpo Bank #1157,370432,81A438031,8004518A0,Corporation #68878
First Bank of Sacramento,32413,807174EB0,801296980,Sole Proprietorship #10572
National Bank of Seattle,321562,807D40D30,80130B800,Partnership #91
First Bank of Phoenix,338184,813C48430,8012F7450,Sole Proprietorship #10564
India Bank #19,123651,808B181B0,800F63510,Sole Proprietorship #43829
Savings Bank of New Orleans,256833,816A5A0B0,8013FE400,Sole Proprietorship #5569
France Bank #1214,224191,812FDDFB0,800CA8430,Partnership #35094
Australia Bank #54,142231,80FF5CBB0,80112C790,Partnership #45757
Australia Bank #29,141352,80F741430,8011386F0,Corporation #47128
Japan Bank #111,18256,80793A830,800E622A0,Corporation #42450
Japan Bank #64,17579,8067A55B0,800E68B00,Partnership #39932
China Bank #28,15168,803D5A030,800CDBE90,Corporation #39470
Bank of Lincoln,213123,8183841B0,8013605A0,Partnership #1921
Mexico Bank #17,113,8155838B0,80132DE30,Sole Proprietorship #14996
Australia Bank #48,141204,80F1BCA30,8011505C0,Partnership #45884
China Bank #36,9534,8038A9F30,800D6A810,Sole Proprietorship #65747
Italy Bank #566,219760,809DD3830,800B6D480,Sole Proprietorship #57284
Mountain Credit Union,113317,80CCD52B0,80044C4E0,Sole Proprietorship #16217
Bank of Milford,2545,8014CF8B0,800216940,Individual #16
Israel Bank #30,58848,8159AF040,801B8D4F0,Partnership #23467
Brazil Bank #150,49700,812691240,80127D6C0,Corporation #48712
Italy Bank #2614,336008,80D104440,800998AC0,Sole Proprietorship #29991
Savings Bank of Pittsburgh,34978,81A9C5140,8012D2B30,Corporation #2192
National Bank of Omaha,215721,8146D54C0,801524810,Sole Proprietorship #21784
Regents Trust Bank,120280,810A2EC40,8011E0F90,Corporation #668
First Bank of the Valley,27155,80D2D09C0,801263D60,Partnership #9335
Australia Bank #62,142223,80FEDC7C0,801196A40,Sole Proprietorship #60002
India Bank #58,23809,8093E80C0,800F6CF30,Partnership #41856
India Bank #26,5,809F002C0,800F0CA00,Sole Proprietorship #43325
Japan Bank #43,11832,807EF1C40,800E906A0,Sole Proprietorship #41210
China Bank #76,19931,803CEEDC0,800D7C1D0,Sole Proprietorship #66396
Netherlands Bank #226,218587,81822EDC0,800B50E20,Partnership #35980
France Bank #137,27737,802EE2CC0,800A7E5A0,Corporation #30512
First Bank of Plattsburg,316447,8089A0FD0,8011FD810,Sole Proprietorship #8768
Crytpo Bank #1822,371370,81C1D5551,8006627A0,Partnership #69729
France Bank #1982,144089,811796CD0,800BC82D0,Corporation #36897
France Bank #3209,247876,81BD42250,8008ED520,Sole Proprietorship #32679
Slovakia Bank #4,14,816A80750,801B8D4F0,Partnership #23467
Australia Bank #375,143477,810883AD0,80112C790,Partnership #45757
China Bank #1540,359621,817BE62D0,800E3DB10,Sole Proprietorship #39751
Savings Bank of Lincoln,133539,81454D1D0,800DE2E50,Sole Proprietorship #21740
Bank of Augusta,223550,80C149F50,800E01FB0,Sole Proprietorship #2456
First Bank of the South,26179,8085B21D0,80152F0F0,Sole Proprietorship #3197
Acme Bank,33212,80608DE50,801535150,Sole Proprietorship #2021
China Bank #375,14351,80A8C07D0,800E35930,Corporation #41674
Savings Bank of Madison,11,81A1805D0,800831C30,Partnership #36365
Savings Bank of Arkadelphia,234039,80FA11BD0,8006C0040,Partnership #62164
Savings Bank of Columbus,5206,80CE22B50,800302EC0,Partnership #15985
First Bank of Albany,22661,806B442D0,80023BD00,Sole Proprietorship #9924
Oasis Credit Union,1291,815E285D0,8000B6680,Partnership #64524
First Bank of Danbury,20,801200A50,80004F430,Sole Proprietorship #3086
Israel Bank #153,358012,815FB3E60,80135F140,Partnership #64293
Germany Bank #5475,37265,80FE8C8E0,800948DE0,Sole Proprietorship #59599
