Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:17,12,800154970,12,800154970,3419.55,US Dollar,3419.55,US Dollar,Reinvestment,0
2022/09/01 00:03,1231,800154BF0,1231,800154BF0,545.55,US Dollar,545.55,US Dollar,Reinvestment,0
2022/09/01 00:18,3235,800155720,3235,800155720,658.22,US Dollar,658.22,US Dollar,Reinvestment,0
2022/09/01 00:10,20,80013A8F0,20,80013A8F0,18.01,US Dollar,18.01,US Dollar,Reinvestment,0
2022/09/01 00:16,20,80013AD80,226624,80ADDEA90,5.35,US Dollar,5.35,US Dollar,Credit Card,0
2022/09/01 00:19,20,80014AE90,20,80014AE90,15.59,US Dollar,15.59,US Dollar,Reinvestment,0
2022/09/01 00:12,224,8001547,224,8001547,13.36,US Dollar,13.36,US Dollar,Reinvestment,0
2022/09/01 00:23,1231,800157000,1231,800157000,2062.64,US Dollar,2062.64,US Dollar,Reinvestment,0
2022/09/01 00:08,1217,800157140,1217,800157140,9796.65,US Dollar,9796.65,US Dollar,Reinvestment,0
2022/09/01 00:09,1231,8001571,1231,8001571,3049.23,US Dollar,3049.23,US Dollar,Reinvestment,0
2022/09/01 00:18,1231,800157000,1231,800157000,12.74,US Dollar,12.74,US Dollar,Reinvestment,0
2022/09/01 00:25,20,800157050,20,800157050,18.10,US Dollar,18.10,US Dollar,Reinvestment,0
2022/09/01 00:26,1217,800157140,1217,800157140,6.71,US Dollar,6.71,US Dollar,Reinvestment,0
2022/09/01 00:10,20,800157910,1231,8001578C0,3913818.00,US Dollar,3913818.00,US Dollar,ACH,0
2022/09/01 00:10,11,800136600,11,800136600,6.59,US Dollar,6.59,US Dollar,Reinvestment,0
2022/09/01 00:12,1231,8001578C0,223057,80D9FB240,30.33,US Dollar,30.33,US Dollar,Credit Card,0
2022/09/01 00:16,1,800159AD0,1,800159AD0,64174.53,US Dollar,64174.53,US Dollar,Reinvestment,0
2022/09/01 00:10,20,80015A0A0,20,80015A0A0,22348.77,US Dollar,22348.77,US Dollar,Reinvestment,0
2022/09/01 00:19,20,80015A0A0,20,80015A0A0,22.77,Bitcoin,22348.77,US Dollar,Reinvestment,0
2022/09/01 00:19,20,80015A0A0,20,80015A0A0,22.77,US Dollar,22348.77,US Dollar,Reinvestment,0
2022/09/01 00:13,20,80015A0A1,20,80015A0A0,33.33,Bitcoin,33.33,Bitcoin,Reinvestment,0
